Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
351305,KENMARE COMMUNITY HOSPITAL,PO BOX 697,KENMARE,ND,58746,WARD,7013854296,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"PO BOX 697
KENMARE, ND"
351312,NORTHWOOD DEACONESS HEALTH CENTER,PO BOX 190,NORTHWOOD,ND,58267,GRAND FORKS,7015876060,Critical Access Hospitals,Voluntary non-profit - Church,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"PO BOX 190
NORTHWOOD, ND"
351318,CARRINGTON HEALTH CENTER,PO BOX 461,CARRINGTON,ND,58421,FOSTER,7016523141,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"PO BOX 461
CARRINGTON, ND"
351319,PEMBINA COUNTY MEMORIAL HOSPITAL,BOX 380,CAVALIER,ND,58220,PEMBINA,7012658461,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"BOX 380
CAVALIER, ND"
351331,TOWNER COUNTY MEDICAL CENTER,HWY 281 N,CANDO,ND,58324,TOWNER,7019684411,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"HWY 281 N
CANDO, ND"
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,9372088000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE WYOMING STREET
DAYTON, OH"
360076,ATRIUM MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,FRANKLIN,OH,45005,WARREN,5134205102,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE MEDICAL CENTER DRIVE
FRANKLIN, OH"
360098,LAKE HEALTH,7590 AUBURN ROAD,CONCORD,OH,44077,LAKE,4409539600,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,"7590 AUBURN ROAD
CONCORD, OH"
360133,GRANDVIEW HOSPITAL & MEDICAL CENTER,405 GRAND AVENUE,DAYTON,OH,45405,MONTGOMERY,9377233312,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"405 GRAND AVENUE
DAYTON, OH"
360245,GLENBEIGH HEALTH SOURCES,2863 STATE ROUTE 45,ROCK CREEK,OH,44084,ASHTABULA,4405633400,Acute Care Hospitals,Voluntary non-profit - Private,False,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"2863 STATE ROUTE 45
ROCK CREEK, OH"
360262,MERCY ST ANNE HOSPITAL,3404 SYLVANIA AVENUE,TOLEDO,OH,43623,LUCAS,4194072663,Acute Care Hospitals,Voluntary non-profit - Church,True,True,5,There are too few measures or measure groups reported to calculate a star rating or measure group score,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"3404 SYLVANIA AVENUE
TOLEDO, OH"
360274,MEDICAL CENTER AT ELIZABETH PLACE,ONE ELIZABETH PLACE,DAYTON,OH,45417,MONTGOMERY,9378531053,Acute Care Hospitals,Government - Federal,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE ELIZABETH PLACE
DAYTON, OH"
363306,DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,DAYTON,OH,45404,MONTGOMERY,9376413450,Childrens,Voluntary non-profit - Private,True,True,3,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Below the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"ONE CHILDRENS PLAZA
DAYTON, OH"
363308,SHRINERS HOSPITALS FOR CHILDREN - CINCINNATI,3229 BURNETT AVENUE,CINCINNATI,OH,45229,HAMILTON,5138726000,Childrens,Voluntary non-profit - Private,False,True,3,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Below the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Same as the national average,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"3229 BURNETT AVENUE
CINCINNATI, OH"
370034,MCALESTER REGIONAL HEALTH CENTER AUTHORITY,ONE CLARK BASS BOULEVARD,MCALESTER,OK,74501,PITTSBURG,9184261800,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2,There are too few measures or measure groups reported to calculate a star rating or measure group score,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,"ONE CLARK BASS BOULEVARD
MCALESTER, OK"
370048,MCCURTAIN MEMORIAL HOSPITAL,1301 LINCOLN ROAD,IDABEL,OK,74745,MCCURTAIN,5802867623,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,"1301 LINCOLN ROAD
IDABEL, OK"
370049,STILLWATER MEDICAL CENTER AUTHORITY,1323 WEST 6TH STREET,STILLWATER,OK,74076,PAYNE,4053721480,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"1323 WEST 6TH STREET
STILLWATER, OK"
370054,GRADY MEMORIAL HOSPITAL,2220 IOWA STREET,CHICKASHA,OK,73018,GRADY,4052242300,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"2220 IOWA STREET
CHICKASHA, OK"
370183,HILLCREST HOSPITAL HENRYETTA,2401 W MAIN DEWEY,HENRYETTA,OK,74437,OKMULGEE,9186501511,Acute Care Hospitals,Proprietary,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"2401 W MAIN DEWEY
HENRYETTA, OK"
370214,LINDSAY MUNICIPAL HOSPITAL,1305 W CHEROKEE STREET - HIGHWAY 19 WEST,LINDSAY,OK,73052,GARVIN,4057561404,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"1305 W CHEROKEE STREET - HIGHWAY 19 WEST
LINDSAY, OK"
370222,MCBRIDE ORTHOPEDIC HOSPITAL,9600 NORTH BROADWAY EXTENSION,OKLAHOMA CITY,OK,73114,OKLAHOMA,4054862100,Acute Care Hospitals,Physician,True,True,5,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"9600 NORTH BROADWAY EXTENSION
OKLAHOMA CITY, OK"
371311,JEFFERSON COUNTY HOSPITAL,INTERSECTION HYWS 81 & 70,WAURIKA,OK,73573,JEFFERSON,5802282344,Critical Access Hospitals,Government - Hospital District or Authority,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"INTERSECTION HYWS 81 &amp; 70
WAURIKA, OK"
371313,"MERCY HOSPITAL KINGFISHER, INC",1000 KINGFISHER HOSPITAL DRIVE,KINGFISHER,OK,73750,KINGFISHER,4053753141,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"1000 KINGFISHER HOSPITAL DRIVE
KINGFISHER, OK"
371330,QUARTZ MOUNTAIN MEDICAL CENTER,ONE WICKERSHAM DRIVE,MANGUM,OK,73554,GREER,5807823353,Critical Access Hospitals,Proprietary,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE WICKERSHAM DRIVE
MANGUM, OK"
371331,DRUMRIGHT REGIONAL HOSPITAL,610 WEST BYPASS,DRUMRIGHT,OK,74030,CREEK,9183822300,Critical Access Hospitals,Proprietary,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"610 WEST BYPASS
DRUMRIGHT, OK"
371332,SEILING MUNICIPAL HOSPITAL,US HIGHWAY 60,SEILING,OK,73663,DEWEY,5809227361,Critical Access Hospitals,Government - Local,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"US HIGHWAY 60
SEILING, OK"
381319,ST ANTHONY HOSPITAL,2801 ST ANTHONY WAY,PENDLETON,OR,97801,UMATILLA,5412765121,Critical Access Hospitals,Voluntary non-profit - Church,True,True,4,This hospitals star rating only includes data reported on inpatient services,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"2801 ST ANTHONY WAY
PENDLETON, OR"
390013,EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,LEWISBURG,PA,17837,UNION,5705222200,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE HOSPITAL DRIVE
LEWISBURG, PA"
390025,KENSINGTON HOSPITAL,136 W DIAMOND STREET,PHILADELPHIA,PA,19122,PHILADELPHIA,2154268100,Acute Care Hospitals,Voluntary non-profit - Other,False,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"136 W DIAMOND STREET
PHILADELPHIA, PA"
390032,ALLEGHENY VALLEY HOSPITAL,1301 CARLISLE ST,NATRONA,PA,15065,ALLEGHENY,4122245100,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,"1301 CARLISLE ST
NATRONA, PA"
390066,GOOD SAMARITAN HOSPITAL,FOURTH AND WALNUT STREETS,LEBANON,PA,17042,LEBANON,7172707500,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2,There are too few measures or measure groups reported to calculate a star rating or measure group score,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,"FOURTH AND WALNUT STREETS
LEBANON, PA"
390079,ROBERT PACKER HOSPITAL,ONE GUTHRIE SQUARE,SAYRE,PA,18840,BRADFORD,5708886666,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE GUTHRIE SQUARE
SAYRE, PA"
390111,HOSPITAL OF UNIV OF PENNSYLVANIA,34TH & SPRUCE STS,PHILADELPHIA,PA,19104,PHILADELPHIA,2156623227,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"34TH &amp; SPRUCE STS
PHILADELPHIA, PA"
390123,POTTSTOWN MEMORIAL MEDICAL CENTER,1600 EAST HIGH STREET AND ARMAND HAMMER BLVD,POTTSTOWN,PA,19464,MONTGOMERY,6103277000,Acute Care Hospitals,Proprietary,True,True,1,There are too few measures or measure groups reported to calculate a star rating or measure group score,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"1600 EAST HIGH STREET AND ARMAND HAMMER BLVD
POTTSTOWN, PA"
390146,WARREN GENERAL HOSPITAL,TWO CRESCENT PARK WEST,WARREN,PA,16365,WARREN,8147233300,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"TWO CRESCENT PARK WEST
WARREN, PA"
390156,MERCY FITZGERALD HOSPITAL,LANSDOWNE & BAILY RDS,DARBY,PA,19023,DELAWARE,2152374000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"LANSDOWNE &amp; BAILY RDS
DARBY, PA"
390163,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,PA,16201,ARMSTRONG,7245438500,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE NOLTE DRIVE
KITTANNING, PA"
390168,BUTLER MEMORIAL HOSPITAL,ONE HOSPITAL WAY,BUTLER,PA,16001,BUTLER,7242836666,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE HOSPITAL WAY
BUTLER, PA"
390180,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,UPLAND,PA,19013,DELAWARE,6104472000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE MEDICAL CENTER BOULEVARD
UPLAND, PA"
390195,MAIN LINE HOSPITAL LANKENAU,100 LANCASTER AVE,WYNNEWOOD,PA,19096,MONTGOMERY,6106452000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"100 LANCASTER AVE
WYNNEWOOD, PA"
390219,EXCELA HEALTH LATROBE HOSPITAL,ONE MELLON WAY,LATROBE,PA,15650,WESTMORELAND,7245371000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"ONE MELLON WAY
LATROBE, PA"
390258,ST MARY MEDICAL CENTER,LANGHORNE-NEWTOWN RD,LANGHORNE,PA,19047,BUCKS,2157502003,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"LANGHORNE-NEWTOWN RD
LANGHORNE, PA"
390321,SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH,1503 CEDAR CREST BOULEVARD,ALLENTOWN,PA,18104,LEHIGH,6108719110,Acute Care Hospitals,Physician,False,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Above the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"1503 CEDAR CREST BOULEVARD
ALLENTOWN, PA"
390330,ST LUKE'S HOSPITAL - MONROE CAMPUS,100 ST LUKES LANE,STROUDSBURG,PA,18360,MONROE,2722120200,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"100 ST LUKES LANE
STROUDSBURG, PA"
393303,CHILDREN'S HOSPITAL OF PHILADELPHIA,34TH ST & CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,PHILADELPHIA,2155903745,Childrens,Voluntary non-profit - Private,True,True,3,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"34TH ST &amp; CIVIC CENTER BLVD
PHILADELPHIA, PA"
400001,PRESBYTERIAN COMMUNITY HOSP,1451 ASHFORD AVENUE,SAN JUAN,PR,907,SAN JUAN,7877212160,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,This hospitals star rating only includes data reported on inpatient services,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"1451 ASHFORD AVENUE
SAN JUAN, PR"
400003,HOSPITAL METROPOLITANO DR PILA,2435 LAS AMERICAS AVE,PONCE,PR,733,PONCE,7878485600,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Below the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,Same as the national average,Results are not available for this reporting period,"2435 LAS AMERICAS AVE
PONCE, PR"
